old_url,bo_table,wr_id,제목,분류(법률정보/성공사례/기타),월간유입(있으면),이관대상여부,new_url
/bbs/board.php?bo_table=notice2&wr_id=64,notice2,64,형사 성범죄 [집행유예] 성폭력범죄의처벌등에관한특례법위반 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=65,notice2,65,형사 경제범죄 [집행유예] 사기등 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2,notice2,,[게시판 목록] notice2,성공사례,,미정,/cases
/bbs/board.php?bo_table=sub2_3&wr_id=1,sub2_3,1,“개인에서 기업까지”…평택·안성 法분쟁 변호사 최철호,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=2,sub2_3,2,최철호 변호사 “연말연시 ‘술자리 성범죄’ 피의자 대처법 있다”,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=3,sub2_3,3,"평택형사전문변호사, “성범죄 사건 신속하고 치밀한 대응 필요”",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=5,sub2_3,5,"평택변호사 법무법인 명, “부동산 분쟁 발생 전후 법률적 조력 활용 충…",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=6,sub2_3,6,"“(사)한국전문기자협회, 법무법인 명 ‘형사-소년법’ 부문 소비자만족 …",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=7,sub2_3,7,개인회생 변호사가 말하는 개인회생과 파산 (개인회생의 필요성),기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=8,sub2_3,8,"[수원변호사] 수원 성범죄 변호사, 강제추행 처벌에 관하여",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=9,sub2_3,9,수원개인회생변호사 ‘개인회생’ 제대로 된 전문 조력을 받아야,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=10,sub2_3,10,음주운전 처벌 강화에 과도한 처분 내려졌다면? 수원 형사변호사들이 말하…,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=11,sub2_3,11,"수원부동산 변호사, 양날의 검 역전세난, 손실 방지하는 법적 대응 방법…",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=12,sub2_3,12,"법무법인 명, 민사 분야 특화된 법률서비스 제공",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=13,sub2_3,13,"교통사고 변호사, 음주운전 처벌에 관하여",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=14,sub2_3,14,"수원변호사, ‘신용조사부터 재산명시, 강제집행’까지 신속한 채무 회수를…",기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=15,sub2_3,15,'소비자만족대상 법률서비스/민사부분' 2년 연속 대상 수상,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3&wr_id=16,sub2_3,16,법무법인 명 부동산 분야 특화된 법률서비스 제공,기타,,미정,/about
/bbs/board.php?bo_table=sub2_3,sub2_3,,[게시판 목록] sub2_3,기타,,미정,/about
/bbs/board.php?bo_table=sub3_1&wr_id=1,sub3_1,1,폭력사건 문의드려요,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=2,sub3_1,2,질문이 있어 문의합니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=3,sub3_1,3,폭행사건에대해 문의드려요,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=4,sub3_1,4,소송비용과 기간이 어느정도 걸리는지...,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=5,sub3_1,5,손해배상 관련해서 질문드립니다,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=6,sub3_1,6,경매신청하려는데 문제가생겼습니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=7,sub3_1,7,가압류신청 도움요청합니다,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=8,sub3_1,8,한정승인건으로 문의드립니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=9,sub3_1,9,가압류상담,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=10,sub3_1,10,명예훼손과 손해배상,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=11,sub3_1,11,이혼소송중 증거수집문제,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=12,sub3_1,12,개인회생중 압류비용,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=13,sub3_1,13,이혼과 재산분할 문제 상담입니다,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=14,sub3_1,14,임대차계약취소,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=15,sub3_1,15,친부확인,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=16,sub3_1,16,사기사건 상담,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=17,sub3_1,17,외도남 폭행사건,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=18,sub3_1,18,성격차이 이혼상담,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=19,sub3_1,19,소송기간과 비용상담입니다,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=20,sub3_1,20,1억원 정도 채권자가 형사고소한 경우,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=21,sub3_1,21,가압류와 재산확인문제,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=22,sub3_1,22,임대차 관련 문의,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=23,sub3_1,23,형사고소 관련 질문 드립니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=24,sub3_1,24,상속재산 받을수 있을까요?,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=25,sub3_1,25,사기.. 고소?,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=26,sub3_1,26,부동산이전문의,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=27,sub3_1,27,이혼,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=28,sub3_1,28,금전 채무관련,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=29,sub3_1,29,양육권문제,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=30,sub3_1,30,임대료 및 보증금 청구방법,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=31,sub3_1,31,오늘상담 취소요,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=32,sub3_1,32,집행기간 무면허,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=33,sub3_1,33,안녕하세요,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=34,sub3_1,34,문의,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=35,sub3_1,35,상담 드립니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=36,sub3_1,36,건설 지체상금 및 초과투입금액 반환,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=37,sub3_1,37,상담요청드립니다.,기타,,미정,/consultation
